字(Character),构件(Decomposition),理据打分(Rationality Score),拼音(pinyin),繁体(Traditional Chinese character),网络中的层次(Network Level),字频1(Frequency 1),字频排序1(Frequency Order 1),学习顺序1(Learning Order 1),字频2(Frequency 2),字频排序2(Frequency Order 2),学习顺序2(Learning Order 2)
馆,食官,4,guǎn,館,,0.0115,1161,1434,0.015795021,1011,1258
遍,辵扁,4,biàn,遍,,0.0181,894,1154,0.015785202,1012,1259
蒙,艸冃豕,1,mēng méng měng máng,蒙,,0.0102,1231,1460,0.014996588,1039,1260
瓦,瓦,1,wǎ wà,瓦,,0.0087,1339,1334,0.011487617,1195,1261
础,石出,4,chǔ,礎,,0.0335,602,827,0.015750061,1014,1262
罢,网去,1,bà ba pí bǎi bǐ pì,罷,,0.0096,1269,1179,0.009556391,1305,1263
洞,水同,3,dòng tóng,洞,,0.0126,1100,1382,0.015709751,1015,1264
坦,土旦,3,tǎn,坦,,0.0088,1332,1621,0.015679778,1017,1265
纸,糸氏,3,zhǐ,紙,,0.0198,848,1094,0.015504071,1020,1266
隐,阝急,1,yǐn yìn,隱,,0.0091,1307,1563,0.015138704,1034,1267
析,木斤,1,xī,析,,0.0243,759,951,0.013963018,1073,1268
训,言川,1,xùn,訓,,0.0182,891,1151,0.01545756,1022,1269
昏,氏日,1,hūn mǐn,昏,,0.0061,1575,1249,0.006511493,1561,1270
弱,弓,1,ruò,弱,,0.0181,894,1147,0.015053434,1038,1271
幺,幺,1,yāo,幺,,0.0002,3788,1196,0.000166405,3891,1272
童,辛重,1,tóng zhōng,童,,0.0188,877,1033,0.010755849,1229,1273
延,廴止,1,yán,延,,0.0124,1113,1293,0.013316519,1103,1274
末,木,5,mò,末,,0.0157,977,1096,0.012157887,1164,1275
私,禾厶,4,sī,私,,0.0159,967,1236,0.015348519,1023,1276
祖,示且,5,zǔ jiē,祖,,0.0193,858,1110,0.015319579,1025,1277
攸,人攴,1,yōu,攸,,0.0001,3870,1216,0.0005819,3362,1278
店,广占,3,diàn,店,,0.0142,1028,1293,0.014948527,1041,1279
丝,糸,4,sī,絲,,0.0166,940,1207,0.015289088,1026,1280
虚,虍业,1,xū,虛,,0.0122,1123,1356,0.013992474,1071,1281
翻,番羽,5,fān,翻,,0.0172,919,1190,0.015280303,1027,1282
虎,虍几,1,hǔ hù,虎,,0.0114,1163,1360,0.013702041,1083,1283
森,木,5,sēn,森,,0.0105,1220,1496,0.015262215,1029,1284
秋,禾火,1,qiū,秋,,0.0149,1003,1145,0.012418347,1150,1285
塔,土荅,3,tǎ,塔,,0.007,1497,1771,0.015221389,1030,1286
默,黑犬,1,mò,默,,0.0119,1143,1420,0.01521002,1031,1287
握,手屋,2,wò,握,,0.0209,826,1069,0.015202785,1032,1288
戏,又戈,1,xì hū xī,戲,,0.0262,720,948,0.015194517,1033,1289
典,丌册,2,diǎn,典,,0.0164,952,1200,0.014914419,1044,1290
熟,孰火,5,shú shóu,熟,,0.019,866,1118,0.015126818,1035,1291
爰,爪于又,1,yuán,爰,,0.0001,3870,1353,0.000104907,3928,1292
访,言方,4,fǎng,訪,,0.01,1247,1525,0.015056018,1037,1293
妻,爪女屮,1,qī qì,妻,,0.0109,1196,1404,0.01387413,1076,1294
库,广车,1,kù,庫,,0.0097,1263,1431,0.013397138,1097,1295
乏,乏,1,fá,乏,,0.0096,1269,1176,0.00827373,1399,1296
歌,哥欠,3,gē,歌,,0.0228,789,1027,0.014964547,1040,1297
软,车欠,2,ruǎn,軟,,0.0095,1279,1559,0.014927339,1043,1298
欲,欠谷,1,yù,欲,,0.0107,1206,1483,0.014912352,1045,1299
萨,艸阝产,1,sà,薩,,0.0062,1566,1847,0.014885479,1046,1300
伙,人火,5,huǒ huo,伙,,0.0165,947,1212,0.014844136,1047,1301
奂,人穴廾,1,huàn,奐,,0.0001,3870,1216,0.000380871,3620,1302
遭,辵曹,3,zāo,遭,,0.0111,1185,1462,0.01480176,1048,1303
盘,舟皿,1,pán xuán,盤,,0.0126,1100,1382,0.014770753,1049,1304
爸,父巴,4,bà,爸,,0.019,866,1118,0.014741813,1050,1305
扩,手广,1,kuò,擴,,0.0204,838,1083,0.01464104,1051,1306
盖,羊皿,1,gài gě hé,蓋,,0.014,1036,1310,0.014630187,1052,1307
乘,人木北,1,chéng shèng,乘,,0.0086,1350,1353,0.010713473,1231,1308
舍,舍,3,shě shè,舍,,0.0086,1350,1274,0.009119707,1344,1309
弄,玉廾,2,nòng lòng,弄,,0.0137,1049,1327,0.014575925,1053,1310
雄,厷隹,3,xióng,雄,,0.0155,987,1262,0.014565072,1054,1311
稳,禾急,1,wěn,穩,,0.0175,911,1176,0.014486004,1055,1312
忘,亡心,4,wàng wáng,忘,,0.0128,1085,1372,0.014449829,1056,1313
亿,人乙,4,yì,億,,0.0073,1473,1753,0.014416755,1057,1314
刺,朿刀,5,cì cī qì,刺,,0.0164,952,1219,0.014413654,1058,1315
拥,手用,4,yōng yǒng,擁,,0.0086,1350,1641,0.014383681,1059,1316
徒,辵土,4,tú,徒,,0.0102,1231,1507,0.014372828,1060,1317
姆,女母,5,mǔ,姆,,0.004,1872,2155,0.014370761,1061,1318
灰,𠂇火,1,huī,灰,,0.0115,1161,1244,0.009456134,1311,1319
杨,木𠃓,5,yáng,楊,,0.0171,925,1198,0.014243115,1062,1320
丈,丈,1,zhàng,丈,,0.0085,1362,1434,0.010527947,1242,1321
赛,𡨄贝,4,sài,賽,,0.0181,894,1154,0.014197121,1064,1322
趣,走取,4,qù cù cǒu qū zōu,趣,,0.0156,981,1256,0.014177483,1065,1323
夏,首夊,1,xià jiǎ,夏,,0.017,928,1158,0.012861748,1126,1324
曲,曲,1,qū qǔ,曲,,0.0308,641,868,0.01416043,1066,1325
厄,厂卩,1,è,厄,,0.0006,3277,1430,0.002162229,2403,1326
寅,寅,1,yín,寅,,0.001,2927,1064,0.000577249,3368,1327
床,广木,3,chuáng,牀,,0.0147,1015,1288,0.014099449,1068,1328
苟,艸句,1,gǒu gōu,苟,,0.0012,2789,1594,0.001143645,2878,1329
迎,辵卬,2,yíng yìng,迎,,0.0131,1071,1353,0.014071026,1069,1330
冰,仌水,3,bīng níng,冰,,0.0151,997,1271,0.014057072,1070,1331
斿,㫃子,5,liú yóu,斿,,0,3938,1332,0,4017,1332
厃,人厂,1,wēi yán zhān,厃,,0,3938,1534,0,4017,1333
乇,乇,1,tuō zhé nè zhè,乇,,0,3938,1647,6.30478E-05,3953,1334
玩,玉元,3,wán wàn,玩,,0.0124,1113,1396,0.01397542,1072,1335
窗,穴囱,3,chuāng cōng,窗,,0.0123,1120,1401,0.013941829,1074,1336
醒,酉星,4,xǐng chéng jīng xīng,醒,,0.0105,1220,1496,0.013901003,1075,1337
透,辵秀,3,tòu shū,透,,0.0168,934,1204,0.013868446,1077,1338
购,贝勾,4,gòu,購,,0.0142,1028,1306,0.013851392,1078,1339
囱,囱,2,cōng chuāng,囪,,0.0008,3081,1371,0.000500248,3474,1340
亏,丂,1,kuī,亏,,0.006,1597,1266,0.005107904,1738,1341
塞,𡨄土,1,sāi sài sè,塞,,0.0094,1284,1568,0.013741317,1080,1342
努,奴力,4,nǔ,努,,0.0121,1131,1412,0.01372788,1081,1343
休,人木,5,xiū xǔ,休,,0.0124,1113,1396,0.013714961,1082,1344
扬,手𠃓,5,yáng,揚,,0.0145,1021,1298,0.013699457,1084,1345
途,辵余,3,tú,途,,0.015,1000,1274,0.013687054,1085,1346
侵,人又帚,1,qīn,侵,,0.0152,995,1269,0.013677235,1086,1347
绿,糸录,2,lǜ lù,綠,,0.0179,899,1162,0.013650363,1088,1348
迅,辵卂,5,xùn,迅,,0.0161,965,1232,0.013602302,1090,1349
套,大镸,1,tào,套,,0.0147,1015,1288,0.013591966,1091,1350
郑,关阝,1,zhèng,鄭,,0.006,1597,1806,0.012772861,1132,1350
荒,艸巟,5,huāng huǎng kāng,荒,,0.0093,1291,1361,0.009262857,1328,1352
贸,卯贝,5,mào,貿,,0.0082,1388,1675,0.013538737,1092,1353
毕,比十,4,bì,畢,,0.0128,1085,1372,0.013512898,1093,1354
矣,厶矢,1,yǐ xián,矣,,0.002,2411,1620,0.003353936,2067,1355
寿,老寸,1,shòu,壽,,0.0057,1632,1361,0.00601848,1615,1356
唯,口隹,5,wéi wěi,唯,,0.0173,915,1185,0.013457602,1094,1357
轮,车仑,5,lún,輪,,0.0126,1100,1382,0.013414709,1096,1358
迹,辵亦,3,jì jī,迹,,0.0106,1214,1491,0.013395071,1098,1359
竞,言儿,1,jìng,競,,0.0106,1214,1491,0.013383185,1100,1360
迷,辵米,4,mí mèi mì,迷,,0.0116,1156,1411,0.012381655,1153,1361
街,行圭,1,jiē,街,,0.0132,1069,1350,0.013367164,1101,1362
狂,犬王,3,kuáng jué,狂,,0.0069,1507,1745,0.012536691,1147,1363
苗,艸田,5,miáo,苗,,0.0116,1156,1058,0.004106375,1920,1364
促,人足,3,cù,促,,0.0211,823,1064,0.013328922,1102,1365
冒,冃目,1,mào mò,冒,,0.0084,1371,1437,0.010809595,1222,1366
震,雨辰,3,zhèn shēn,震,,0.0088,1332,1621,0.01330515,1104,1367
弃,子廾,1,qì,棄,,0.0082,1388,1675,0.013296882,1105,1368
昌,日曰,1,chāng,昌,,0.0063,1556,1175,0.006091346,1606,1369
伟,人韦,4,wěi,偉,,0.0129,1077,1361,0.013225048,1107,1370
缓,糸爰,3,huǎn,緩,,0.0113,1171,1445,0.013154766,1111,1371
潜,水替,1,qián,潛,,0.0089,1325,1611,0.013153215,1112,1372
闪,门人,2,shǎn,閃,,0.0134,1059,1340,0.013140296,1113,1373
售,隹口,1,shòu,售,,0.0133,1062,1344,0.013128926,1114,1374
灯,火丁,2,dēng,燈,,0.0194,853,1102,0.013126859,1115,1375
针,金十,1,zhēn,針,,0.0208,828,1073,0.013118074,1116,1376
癶,癶,1,bō,癶,,0,3938,1579,0,4017,1377
哲,折口,5,zhé,哲,,0.0124,1113,1396,0.013102054,1117,1378
络,糸各,1,luò lào,絡,,0.0046,1779,2064,0.013051925,1118,1379
冗,冖几,1,rǒng,冗,,0.0004,3536,1349,0.000445986,3540,1380
抵,手氐,5,dǐ,抵,,0.009,1314,1596,0.013037455,1119,1381
埃,土矣,1,āi,埃,,0.0054,1673,1946,0.012971824,1121,1382
抱,手包,4,bào,抱,,0.0113,1171,1445,0.012955287,1122,1383
兹,玄,1,zī cí cī,兹,,0.002,2411,1491,0.004815921,1781,1384
鼓,壴支,1,gǔ,鼓,,0.0165,947,1212,0.012927897,1123,1385
匀,勹二,1,yún,勻,,0.0051,1705,1074,0.001493509,2687,1386
矛,矛,1,máo,矛,,0.019,866,1001,0.007782267,1441,1387
植,木直,5,zhí,植,,0.0264,713,939,0.012919112,1124,1388
厉,厂万,1,lì,厲,,0.0059,1611,1558,0.009160533,1339,1389
胃,田肉,1,wèi,胃,,0.0044,1812,1236,0.003892942,1957,1390
纯,糸屯,3,chún quán tún zhūn zhǔn zī,純,,0.0139,1039,1316,0.012862782,1125,1391
忍,刃心,4,rěn,忍,,0.0091,1307,1589,0.012848312,1127,1392
贯,毌贝贝,1,guàn wān,貫,,0.0109,1196,1179,0.007421551,1478,1393
杰,木火,1,jié,傑,,0.0066,1530,1806,0.012814204,1129,1394
筑,竹巩,1,zhù zhú,筑,,0.0134,1059,1340,0.012805936,1130,1395
拍,手白,3,pāi bó pò,拍,,0.0113,1171,1425,0.012135665,1167,1396
混,水昆,3,hùn hún gǔn hǔn kūn,混,,0.0144,1023,1300,0.012715498,1137,1397
雅,牙隹,4,yǎ yā yá,雅,,0.0068,1515,1789,0.012675189,1139,1398
敏,每攴,3,mǐn,敏,,0.0077,1435,1292,0.007821543,1436,1399
昆,日比,1,kūn hùn,昆,,0.0061,1575,1287,0.004938915,1759,1400
凶,凵乂,1,xiōng,凶,,0.0046,1779,1628,0.008633929,1378,1401
振,手辰,3,zhèn zhēn zhěn,振,,0.0129,1077,1361,0.012645215,1140,1402
卒,衣,1,zú cù,卒,,0.001,2927,1451,0.001708492,2579,1402
染,水九木,1,rǎn,染,,0.0176,906,1172,0.012632296,1141,1404
孟,子皿,2,mèng,孟,,0.0042,1840,1548,0.006343021,1575,1405
盛,成皿,5,shèng chéng,盛,,0.0148,1006,1281,0.012602839,1142,1406
怒,奴心,4,nù,怒,,0.0088,1332,1621,0.012596121,1143,1407
舞,无舛,1,wǔ,舞,,0.0338,597,823,0.012588886,1144,1408
宜,宀且,1,yí,宜,,0.012,1138,1274,0.009732614,1290,1409
圆,囗员,5,yuán,圓,,0.0188,877,1134,0.012540825,1145,1410
搞,手高,4,gǎo,搞,,0.0194,853,1102,0.012539791,1146,1411
䍃,肉缶,1,yáo yóu,䍃,,0,3938,1482,0,4017,1412
措,手昔,1,cuò zé,措,,0.0111,1185,1462,0.01249173,1148,1413
姓,女生,3,xìng,姓,,0.0093,1291,1573,0.012476227,1149,1414
残,歹戋,3,cán,殘,,0.0114,1163,1437,0.012418347,1151,1415
培,土咅,2,péi pǒu,培,,0.0226,795,1033,0.012407494,1152,1416
诚,言成,5,chéng,誠,,0.0093,1291,1573,0.012375454,1154,1417
宽,宀艸见,3,kuān,寬,,0.0109,1196,1473,0.012360467,1155,1418
卑,甲又,1,bēi,卑,,0.0027,2189,1462,0.003396312,2058,1419
宇,宀于,4,yǔ,宇,,0.0094,1284,1568,0.012346514,1156,1420
允,厶儿,1,yǔn,允,,0.0055,1658,1315,0.00776573,1443,1421
猛,犬孟,4,měng,猛,,0.0098,1257,1536,0.012331527,1157,1422
摆,手罢,2,bǎi,擺,,0.0156,981,1256,0.012326876,1158,1423
梅,木每,4,méi,梅,,0.0114,1163,1437,0.012311889,1159,1424
卂,卂,2,xùn xìn,卂,,0,3938,1451,0,4017,1425
毁,臼土殳,1,huǐ huì,毀,,0.0061,1575,1856,0.012285533,1160,1426
伸,人申,5,shēn,伸,,0.0134,1059,1340,0.012264345,1161,1427
摩,麻手,2,mó mā,摩,,0.008,1407,1694,0.012219384,1162,1428
盟,明皿,2,méng mèng míng,盟,,0.0049,1735,2019,0.01218631,1163,1429
悲,非心,3,bēi,悲,,0.0107,1206,1483,0.012144451,1166,1430
耶,耳阝,1,yé yē xié,耶,,0.0032,2034,2264,0.011976496,1174,1431
赵,走乂,1,zhào diào tiǎo,趙,,0.0145,1021,1298,0.012107242,1169,1432
夆,夂丰,4,féng fēng páng,夆,,0,3938,1278,0,4017,1433
赞,先贝,1,zàn,贊,,0.0106,1214,1478,0.011839031,1179,1434
硬,石更,3,yìng gěng,硬,,0.0127,1095,1376,0.012074168,1170,1435
麦,来夊,1,mài,麥,,0.0097,1263,1542,0.012026107,1171,1436
蒋,艸将,4,jiǎng jiāng,蔣,,0.0101,1240,1515,0.012008536,1172,1437
操,手喿,3,cāo cào,操,,0.012,1138,1417,0.011985798,1173,1438
阻,阝且,5,zǔ zhù,阻,,0.0139,1039,1316,0.011964093,1175,1439
订,言丁,4,dìng,訂,,0.0102,1231,1507,0.011881407,1176,1440
彩,采彡,5,cǎi,彩,,0.0166,940,1207,0.011876756,1177,1441
瓜,瓜,1,guā,瓜,,0.0061,1575,1336,0.004516702,1827,1442
抽,手由,4,chōu,抽,,0.0158,972,1245,0.011853501,1178,1443
丑,丑,1,chǒu,丑,,0.0037,1931,1513,0.004168906,1902,1444
魔,麻鬼,2,mó,魔,,0.0043,1827,2114,0.011800789,1180,1445
纷,糸分,5,fēn,紛,,0.0117,1151,1427,0.011793037,1181,1446
沿,水㕣,4,yán yàn,沿,,0.0159,967,1236,0.011772882,1182,1447
喊,口咸,3,hǎn,喊,,0.0139,1039,1316,0.011771849,1183,1448
违,辵韦,5,wéi huí,違,,0.0078,1430,1713,0.011757379,1184,1449
乌,鸟,3,wū wù,烏,,0.008,1407,1581,0.010486087,1244,1450
妹,女未,3,mèi,妹,,0.0126,1100,1382,0.011742909,1185,1451
浪,水良,3,làng láng,浪,,0.0138,1046,1323,0.011699499,1186,1452
汇,匚水,1,huì,匯,,0.0106,1214,1491,0.011683478,1187,1453
币,巾,1,bì,幣,,0.0082,1388,1675,0.01167521,1188,1454
刃,刀,5,rèn,刃,,0.0006,3277,1557,0.001476972,2694,1455
蓝,艸监,3,lán la,藍,,0.0092,1300,1581,0.011595108,1190,1456
殊,歹朱,3,shū,殊,,0.0138,1046,1323,0.011579605,1191,1457
献,南犬,3,xiàn suō xī,獻,,0.0144,1023,1300,0.01157392,1192,1458
桌,卓木,5,zhuō,桌,,0.0109,1196,1473,0.011542913,1193,1459
尗,上小,1,shú,尗,,0,3938,1419,0,4017,1460
啦,口拉,5,lā la,啦,,0.0254,739,967,0.011505188,1194,1461
莱,艸来,5,lái,萊,,0.0035,1968,2247,0.011465912,1196,1462
援,手爰,5,yuán,援,,0.0063,1556,1838,0.011462294,1197,1463
译,言𠬤,5,yì,譯,,0.0056,1646,1920,0.011457126,1198,1464
夺,大寸,1,duó,奪,,0.0128,1085,1372,0.011445757,1199,1465
汽,水气,5,qì gāi yǐ,汽,,0.0162,961,1228,0.011419918,1200,1466
烧,火尧,3,shāo shào,燒,,0.0172,919,1190,0.011409582,1201,1467
巷,共巳,1,xiàng hàng,巷,,0.0019,2458,1806,0.00218135,2395,1468
董,艸重,3,dǒng zhǒng,董,,0.0036,1948,1587,0.00591719,1629,1469
距,足巨,5,jù,距,,0.0125,1110,1393,0.011353769,1202,1470
裁,𢦏衣,3,cái,裁,,0.0062,1566,1847,0.011326897,1203,1471
巧,工丂,3,qiǎo,巧,,0.0121,1131,1382,0.010833883,1219,1472
偏,人扁,3,piān,偏,,0.014,1036,1310,0.011305708,1204,1473
符,竹付,4,fú,符,,0.0137,1049,1327,0.011297957,1205,1474
勇,甬力,5,yǒng,勇,,0.0127,1095,1376,0.011275735,1206,1475
聚,取人,1,jù,聚,,0.0104,1225,1401,0.00953882,1306,1476
孔,子乚,1,kǒng,孔,,0.0133,1062,1305,0.009762071,1289,1477
触,角虫,2,chù,觸,,0.0122,1123,1404,0.011224056,1207,1478
课,言果,1,kè,課,,0.0184,886,1147,0.011216821,1208,1479
盾,盾,1,dùn shǔn yǔn,盾,,0.0194,853,1004,0.008309905,1395,1480
哭,口犬,1,kū,哭,,0.0122,1123,1404,0.01108194,1210,1481
叟,又,1,sǒu,叟,,0,3938,1655,0.0003633,3639,1482
焦,隹火,5,jiāo qiáo,焦,,0.0077,1435,1382,0.006554903,1554,1483
昷,日皿,1,wēn yùn,𥁕,,0,3938,1068,0,4017,1484
拜,手,1,bài,拜,,0.0078,1430,1673,0.010841119,1218,1485
艾,艸乂,1,ài yì,艾,,0.0027,2189,2028,0.00972848,1291,1486
奉,𡗗手,1,fèng,奉,,0.0062,1566,1563,0.008502666,1382,1487
懂,心董,5,dǒng,懂,,0.0111,1185,1462,0.010912952,1211,1488
墙,土啬,1,qiáng,墻,,0.0113,1171,1445,0.010904683,1212,1489
袭,龙衣,1,xí,襲,,0.0055,1658,1932,0.010903133,1213,1490
罚,詈刀,1,fá,罰,,0.0056,1646,1920,0.010858173,1215,1491
侠,人夹,3,xiá,俠,,0.0005,3397,3648,0.010851971,1216,1492
厅,厂丁,3,tīng,廳,,0.007,1497,1771,0.010846803,1217,1493
侧,人则,3,cè zè zhāi,側,,0.011,1190,1469,0.010831817,1220,1494
韩,倝韦,1,hán,韓,,0.0035,1968,2247,0.010825098,1221,1495
串,串,5,chuàn guàn,串,,0.0055,1658,1524,0.004493447,1832,1496
债,人责,2,zhài,債,,0.0053,1681,1956,0.010801843,1223,1497
融,鬲虫,3,róng,融,,0.0083,1381,1665,0.010792024,1225,1498
惯,心贯,5,guàn,慣,,0.013,1072,1357,0.010790474,1226,1499
肃,聿𫂱,1,sù,肅,,0.0066,1530,1563,0.007018459,1518,1500
疾,疒矢,1,jí,疾,,0.008,1407,1655,0.010026665,1273,1501
戴,𢦏異,3,dài,戴,,0.0087,1339,1628,0.010762567,1228,1502
累,田糸,1,léi lěi lèi,纍,,0.0135,1054,1265,0.009310918,1323,1503
犹,犬尤,4,yóu yáo,猶,,0.0062,1566,1847,0.010721741,1230,1504
挂,手圭,2,guà,掛,,0.0118,1149,1426,0.010700553,1232,1505
奖,大将,4,jiǎng,獎,,0.0101,1240,1515,0.010692284,1233,1506
绍,糸召,3,shào chāo,紹,,0.0126,1100,1382,0.010687633,1234,1507
厚,厂日子,1,hòu,厚,,0.0135,1054,1336,0.010658177,1235,1508
纵,糸从,3,zòng zǒng cóng sǒng,縱,,0.0082,1388,1675,0.010645257,1236,1509
尝,云,1,cháng,嘗,,0.0046,1779,1745,0.005972486,1621,1510
障,阝章,4,zhàng zhāng,障,,0.0083,1381,1665,0.010595646,1237,1511
讯,言卂,5,xùn,訊,,0.0058,1621,1895,0.010587894,1238,1512
涉,水步,4,shè dié,涉,,0.0087,1339,1628,0.010584793,1239,1513
彻,彳切,1,chè,徹,,0.0121,1131,1412,0.010573941,1240,1514
刊,干刀,3,kān,刊,,0.0072,1480,1758,0.01057239,1241,1515
匃,匃,1,gài,匃,,0,3938,1567,0,4017,1516
爆,火暴,5,bào bó,爆,,0.0076,1442,1723,0.01051141,1243,1517
汤,水𠃓,3,tāng shāng tàng yáng,湯,,0.0052,1697,1515,0.006005043,1618,1518
赖,束负,1,lài,賴,,0.0063,1556,1717,0.008848912,1365,1519
役,彳殳,1,yì,役,,0.0061,1575,1856,0.010466966,1245,1520
描,手苗,5,miáo,描,,0.0126,1100,1382,0.010463349,1246,1521
洗,水先,2,xǐ xiǎn,洗,,0.0107,1206,1483,0.010454047,1247,1522
玛,玉马,5,mǎ,瑪,,0.0032,2034,2317,0.010442677,1248,1523
患,串心,3,huàn,患,,0.0071,1484,1763,0.01044061,1249,1524
妙,女少,3,miào,妙,,0.008,1407,1694,0.010420972,1250,1525
镜,金竟,5,jìng,鏡,,0.0164,952,1219,0.010387381,1251,1526
唱,口昌,4,chàng,唱,,0.0173,915,1185,0.010379629,1252,1527
烦,火页,1,fán,煩,,0.0066,1530,1806,0.010374978,1253,1528
签,竹佥,5,qiān,簽,,0.0054,1673,1946,0.010365159,1254,1529
荅,艸合,1,dá dā tà,荅,,0,3938,1771,3.1007E-06,3995,1530
仙,人山,3,xiān,仙,,0.0061,1575,1856,0.010362059,1255,1531
彼,彳皮,3,bǐ,彼,,0.0071,1484,1763,0.010346555,1256,1532
荼,艸余,1,tú chá shū yé,荼,,0.0002,3788,1453,0.00031834,3703,1533
症,疒正,5,zhēng zhèng,癥,,0.0085,1362,1649,0.010272655,1258,1534
仿,人方,4,fǎng páng,仿,,0.0119,1143,1420,0.010268521,1259,1535
倾,人顷,5,qīng,傾,,0.0122,1123,1404,0.010257668,1260,1536
兀,儿,1,wù,兀,,0.0007,3168,1468,0.00117982,2851,1537
牌,片卑,1,pái,牌,,0.0095,1279,1559,0.01020754,1261,1538
陷,阝臽,5,xiàn,陷,,0.0082,1388,1675,0.010182218,1262,1539
季,禾子,1,jì,季,,0.0192,861,1102,0.009927959,1279,1540
轰,车双,1,hōng,轟,,0.0051,1705,1985,0.010165164,1264,1541
咱,口自,2,zán zá zǎ,咱,,0.0173,915,1185,0.010105216,1265,1542
菜,艸采,4,cài,菜,,0.0163,957,1222,0.010085579,1266,1543
闭,门才,2,bì,閉,,0.0105,1220,1496,0.010085062,1267,1544
奋,大田,1,fèn,奮,,0.0146,1020,1293,0.010076793,1268,1545
庆,广大,1,qìng,慶,,0.0113,1171,1445,0.010070592,1269,1546
鬲,鬲,1,gé lì è,鬲,,0,3938,1594,7.7518E-06,3989,1547
撤,手徹,5,chè,撤,,0.0046,1779,2064,0.010069558,1270,1548
泪,水目,1,lèi lì,淚,,0.0119,1143,1420,0.010031316,1271,1549
茶,荼,1,chá,茶,,0.011,1190,1469,0.010027699,1272,1550
尾,尸毛,2,wěi yǐ,尾,,0.0113,1171,1434,0.009858193,1282,1551
戒,戈廾,2,jiè,戒,,0.0037,1931,1542,0.006464982,1566,1552
缘,糸彖,3,yuán yuàn,緣,,0.0097,1263,1542,0.009989457,1274,1553
播,手番,1,bō bǒ bò,播,,0.0151,997,1271,0.009987906,1275,1554
朗,月良,3,lǎng,朗,,0.0067,1525,1799,0.009967752,1276,1555
杜,木土,3,dù,杜,,0.0076,1442,1723,0.009946047,1277,1556
奶,女乃,5,nǎi,奶,,0.0136,1053,1332,0.009932093,1278,1557
狗,犬句,1,gǒu,狗,,0.01,1247,1525,0.009866979,1281,1558
仪,人义,4,yí,儀,,0.0101,1240,1515,0.009851992,1283,1559
偷,人俞,1,tōu,偷,,0.0079,1417,1703,0.009822018,1284,1560
奔,大卉,1,bēn bèn,奔,,0.009,1314,1596,0.009813233,1285,1561
宿,宀人百,1,sù xiǔ xiù,宿,,0.0056,1646,1376,0.005009198,1751,1562
珠,玉朱,5,zhū,珠,,0.0101,1240,1515,0.009775508,1286,1563
驻,马主,4,zhù,駐,,0.0055,1658,1932,0.009767756,1288,1564
酋,八酉,2,qiú,酋,,0.0011,2860,1559,0.000588101,3352,1565
朵,几木,1,duǒ,朵,,0.0071,1484,1513,0.006426223,1571,1566
桥,木乔,5,qiáo,橋,,0.0119,1143,1420,0.009723312,1292,1567
淡,水炎,3,dàn tán yǎn yàn,淡,,0.0101,1240,1515,0.009704708,1293,1568
喿,品木,1,zào qiāo sào,喿,,0,3938,1461,0,4017,1569
臧,戕臣,3,zāng zàng cáng záng,臧,,0.0004,3536,1673,0.000213432,3854,1570
皆,比白,1,jiē,皆,,0.0056,1646,1664,0.007936269,1419,1571
郎,良阝,4,láng làng,郎,,0.0051,1705,1806,0.007671675,1457,1572
翼,羽異,5,yì,翼,,0.0041,1859,2144,0.00966905,1294,1573
恨,心艮,3,hèn,恨,,0.0075,1455,1736,0.009664916,1295,1574
繁,敏糸,2,fán pó pán,繁,,0.0139,1039,1316,0.009663365,1296,1575
寒,𡨄仌,1,hán,寒,,0.0114,1163,1437,0.009655613,1297,1576
伴,人半,5,bàn pàn,伴,,0.0102,1231,1507,0.009652513,1298,1577
厷,𠂇厶,1,gōng hóng,厷,,0,3938,1453,0,4017,1578
叹,口又,1,tàn,嘆,,0.0075,1455,1736,0.009605485,1299,1579
愈,俞心,4,yù,愈,,0.0084,1371,1655,0.009581196,1301,1580
潮,水朝,5,cháo,潮,,0.0133,1062,1344,0.009577062,1302,1581
粮,米良,5,liáng,糧,,0.0148,1006,1281,0.009574995,1303,1582
缩,糸宿,2,suō sù,縮,,0.0142,1028,1306,0.009557941,1304,1583
径,彳𢀖,4,jìng,徑,,0.0141,1033,1309,0.009523316,1307,1584
恰,心合,1,qià,恰,,0.0088,1332,1621,0.009519182,1308,1585
挑,手兆,3,tiāo tiǎo tāo,挑,,0.0096,1269,1548,0.009517632,1309,1586
岂,山己,1,qǐ kǎi,豈,,0.0027,2189,2001,0.005186456,1726,1587
袋,代衣,5,dài,袋,,0.0107,1206,1483,0.009499028,1310,1588
捕,手甫,3,bǔ,捕,,0.0093,1291,1573,0.009424094,1312,1589
徐,彳余,3,xú,徐,,0.0103,1229,1505,0.00939257,1313,1590
珍,玉㐱,4,zhēn,珍,,0.009,1314,1596,0.00937655,1314,1591
倝,㫃旦,1,gàn,倝,,0,3938,2350,0,4017,1592
幕,莫巾,2,mù,幕,,0.0085,1362,1649,0.009373449,1315,1593
映,日央,2,yìng,映,,0.0241,763,995,0.009354845,1316,1594
裂,列衣,5,liè liě,裂,,0.0105,1220,1496,0.009350193,1317,1595
泰,𡗗水,1,tài,泰,,0.0049,1735,2019,0.009337791,1318,1596
隔,阝鬲,5,gé jī rǒng,隔,,0.0098,1257,1536,0.009331072,1319,1597
启,户口,1,qǐ,启,,0.0091,1307,1589,0.009323321,1320,1598
尖,小大,5,jiān,尖,,0.0112,1180,1453,0.009320737,1321,1599
